#,单词,音标,解释,笔记
3869,"chart","英:/tʃɑːt/ 美:/tʃɑːrt/","- n. 图表
- 航海图
- 唱片的每周流行榜
- vt. 绘制地图，在图上标出
- 跟踪；记述

时 态:  
charted，charting，charts",
3870,"charm","英:/tʃɑːm/ 美:/tʃɑːrm/","- n. 魅力，吸引力
- 魔力，魔法，咒语
- vt. 使高兴，使着迷；吸引
- 使中魔法，(犹如用魔法)控制

时 态:  
charmed，charming，charms 

副 词:  
charmingly

形容词:  
charmless",
3871,"charity","英:/ˈtʃærəti/ 美:/ˈtʃærəti/","n. 施舍；慈善；慈善团体；施舍物；宽容",
3872,"charitable","英:/ˈtʃærətəbl/ 美:/ˈtʃærətəbl/","- adj. 行善的,慷慨施舍的
- 慈善的,仁爱的
- 宽厚的

副 词:  
charitably",
3873,"charge","英:/tʃɑːdʒ/ 美:/tʃɑːrdʒ/","- n. 费用；掌管；控告；负载；电荷；命令
- vt. 装载；对…索费；使承担；向…冲去；指责；使充电
- vi. 索价；向前冲；充电；控告；记在账上


时 态:  
charged, charging, charges",
3874,"character","英:/ˈkærəktə(r)/ 美:/ˈkærəktər/","- n. 品质, 特性, 特色
- 特征, 好的品质
- 人物, 角色
- (书写或印刷)符号, (汉)字

时 态:  
charactered, charactering, characters  

形容词:  
characterless",
3875,"chapman","英:/ˈtʃæpmən/ 美:/ˈtʃæpmən/","n. 叫卖小贩；商人

Chapman查普曼(姓氏)",
3876,"channel","英:/ˈtʃænl/ 美:/ˈtʃænl/","- vt. 引导，开导；形成河道；通灵；模仿，努力赶上
- n. 海峡；通道；水渠；航道；途径；方式；频道；电视台；信道，（电子）沟道


时 态:  
channeledalso channelled 
channelingchannelling 
channelschannels",
3877,"change","英:/tʃeɪn(d)ʒ/ 美:/tʃendʒ/","- vt. & vi. 改变，改换；变化
- 换衣服，换车
- vt. 交换，更换
- 兑换(货币)
- n. 改变，变化，变更
- 低值硬币，零钱
- 找回的钱

时 态:  
changed，changing，changes",
3878,"chang","英:/tʃɑːŋ/ 美:/tʃæŋ/","n. 青稞酒",
3879,"chance","英:/tʃɑːns/ 美:/tʃæns/","- n. 可能性；机会，际遇；运气，侥幸
- vt. 偶然发生；冒……的险
- vi. 碰巧；偶然被发现


时 态:  
chanced, chancing, chances",
3880,"championship","英:/ˈtʃæmpiənʃɪp/ 美:/ˈtʃæmpiənʃɪp/","- n. 锦标赛，冠军赛
- 冠军的地位(称号、等级、保持称号的时期)
- 维护；支持",
3881,"champagne","英:/ʃæmˈpeɪn/ 美:/ʃæmˈpeɪn/","n. 香槟酒",
3882,"chamber","英:/ˈtʃeɪmbə(r)/ 美:/ˈtʃeɪmbər/","- n. （身体或器官内的）室，膛；房间；会所
- adj. 室内的；私人的，秘密的
- vt. 把…关在室内；装填（弹药等）


时 态:  
chambered, chambering, chambers",
3883,"challenge","英:/ˈtʃælɪndʒ/ 美:/ˈtʃælɪndʒ/","- n. 挑战, 邀请比赛
- 怀疑, 质问
- 艰巨的任务
- vt. 挑战
- 质疑
- 考验

时 态:  
challenged, challenging, challenges",
3884,"chairman","英:/ˈtʃeəmən/ 美:/ˈtʃermən/","n. 主席，会长；董事长


时 态:  
chairmanned, chairmanning, chairmans",
3885,"chair","英:/tʃeə(r)/ 美:/tʃer/","- n. 椅子
- 大学教授职位
- 主持会议的主席(的席位或职位)
- vt. 主持
- 把胜利者高高抬起

时 态:  
chaired, chairing, chairs",
3886,"chain","英:/tʃeɪn/ 美:/tʃeɪn/","- n. 链, 锁链
- 一系列的事物
- 连锁店或旅馆
- 束缚
- vt. 用铁链锁住
- 束缚
Chain钱恩(①姓氏 ②Ernst Boris, 1906-1979, 生于德国的英国生物化学家, 曾获1945年诺贝尔生理学-医学奖)

时 态:  
chained, chaining, chains",
3887,"chai","","",
3888,"certify","英:/ˈsɜːtɪfaɪ/ 美:/ˈsɜːrtɪfaɪ/","- vt. 证明, 证实
- 发证书给…

时 态:  
certified, certifying, certifies 

名 词:  
certifier",
3889,"certified","英:/'sɜːtɪfaɪd/ 美:/'sɝtə,faɪd/","adj. 被鉴定的",
3890,"certificate","英:/səˈtɪfɪkət/ 美:/sərˈtɪfɪkət/","n. 证明书, 执照

时 态:  
certificated, certificating, certificates",
3891,"certainly","英:/ˈsɜːtnli/ 美:/ˈsɜːrtnli/","adv. 无疑地; 确定地",
3892,"certain","英:/ˈsɜːtn/ 美:/ˈsɜːrtn/","- adj. 肯定的，无疑的；有把握的；确定的
- （不提及细节时用）某事，某人，某种
-  （与人名连用，表示说话者不识其人）某某，某位，一位叫…的
- 轻微的；微小的；显而易见却难以描述的
- pron. （不提及人或事物的名称时用）某些，一些，若干",
3893,"ceremony","英:/ˈserəməni/ 美:/ˈserəmoʊni/","- n. 典礼, 仪式
- 礼节, 礼仪",
3894,"cereal","英:/ˈsɪəriəl/ 美:/ˈsɪriəl/","- n. 谷类植物, 谷物
- 谷类食物, 麦片粥",
3895,"central","英:/ˈsentrəl/ 美:/ˈsentrəl/","- adj. 中心的, 中央的, 形成中心的
- 最重要的, 主要的, 首要的
- 有全部权力或控制力的

副 词:  
centrally",
3896,"center","英:/ˈsentə/ 美:/'sɛntɚ/","- n. 中心，中央；中心点；中锋
- vi. 居中，被置于中心
- vt. 集中，使聚集在一点；定中心
- adj. 中央的，位在正中的


时 态:  
centered, centering, centers",
3897,"cent","英:/sent/ 美:/sent/","n. 分；一分的硬币；森特（等于半音程的百分之一）",
3898,"cellular","英:/ˈseljələ(r)/ 美:/ˈseljələr/","- adj. 细胞的；多孔的；由细胞组成的
- n. 移动电话；单元


名 词:  
cellularity",
3899,"celebrity","英:/səˈlebrəti/ 美:/səˈlebrəti/","- n. (尤指娱乐界的)名人, 名流
- 名声, 名誉",
3900,"celebration","英:/ˌselɪˈbreɪʃn/ 美:/ˌselɪˈbreɪʃn/","- n. 庆祝
- 庆祝会(仪式)",
3901,"celebrate","英:/ˈselɪbreɪt/ 美:/ˈselɪbreɪt/","- vt. & vi. 庆祝
- vt. 颂扬, 赞美, 歌颂

时 态:  
celebrated, celebrating, celebrates 

名 词:  
celebration

名 词:  
celebrator",
3902,"cease","英:/siːs/ 美:/siːs/","vt. & vi. 停止, 终止, 结束

时 态:  
ceased, ceasing, ceases",
3903,"ce","/ˌsi: 'i/","- abr. n. customer engineer 用户工程师
- Cerium 铈
Ce元素铈(cerium)的符号",
3904,"cautiously","英:/'kɔ:ʃəsli/ 美:/ˈk ɔʃəslɪ/","adv. 小心地,谨慎地",
3905,"causing","","causing


(once / 401 pages)


n



WORD FAMILY
causing: causings
+

/causal: causality, causally, noncausal
/causality: causalities
/causation: causations
/causative: causatively, noncausative
/cause: causal, causation, causative, caused, causeless, causes, causing
/caused: uncaused
/causeless: causelessly
/uncaused: uncausedly



USAGE EXAMPLES


Customs and Border Patrol computer problems hit several U.S. airports on Monday, causing long lines at immigration checks, airport officials said.

Reuters(Jan 02, 2017)

Four men aged 59, 48, 38 and 18 remain in custody after being arrested on suspicion of causing death by dangerous driving.

BBC(Jan 02, 2017)

This caused an internal system to ""panic"" the firm wrote, causing the server errors.

BBC(Jan 02, 2017)



n 
the act of causing something to happen

Syn
|
Hypo
|
Hyper


causation

sending
the act of causing something to go (especially messages)
induction, initiation, trigger
an act that sets in motion some course of events
coercion, compulsion
using force to cause something to occur
influence
causing something without any direct or apparent effort
inducement, inducing
act of bringing about a desired result
transmission, transmittal, transmitting
the act of sending a message; causing a message to be transmitted
fomentation, instigation
deliberate and intentional triggering (of trouble or discord)
cross-pollination
stimulating influence among diverse elements
exposure
the act of subjecting someone to an influencing experience
encroachment, impact, impingement
influencing strongly
manipulation, use
exerting shrewd or devious influence especially for one's own advantage
hypnotism, mesmerism, suggestion
the act of inducing hypnosis
corruption
inducement (as of a public official) by improper means (as bribery) to violate duty (as by commiting a felony)
enticement, temptation
the act of influencing by exciting hope or desire
constructive eviction, eviction
action by a landlord that compels a tenant to leave the premises (as by rendering the premises unfit for occupancy); no physical expulsion or legal process is involved


act, deed, human action, human activity
something that people do or cause to happen",
3906,"cause","英:/kɔːz/ 美:/kɔːz/","- n. 原因；事业；目标
- vt. 引起；使遭受


时 态:  
caused, causing, causes 

形容词:  
causable

形容词:  
causeless

名 词:  
causer",
3907,"cauliflower","英:/ˈkɒliflaʊə(r)/ 美:/ˈkɑːliflaʊər/","n. 〈植〉花椰菜, 菜花",
3908,"cattle","英:/ˈkætl/ 美:/ˈkætl/","n. (总称)牛, 牲口",
3909,"caterer","英:/'keɪtərə/ 美:/'ketərɚ/","n. (尤指职业的)酒席承办人;提供饮食及服务的人",
3910,"cater to","","",
3911,"cater","英:/ˈkeɪtə(r)/ 美:/ˈkeɪtər/","vt. 满足需要；投合，迎合；提供饮食及服务


时 态:  
catered, catering, caters 

名 词:  
caterer",
3912,"category","英:/ˈkætəɡəri/ 美:/ˈkætəɡɔːri/","n. 种类, 类别",
3913,"catch","英:/kætʃ/ 美:/kætʃ/","- vt. 赶上；抓住；感染；了解
- vi. 赶上；抓住
- n. 捕捉；捕获物；窗钩


时 态:  
caught 
catching, catches",
3914,"casual","英:/ˈkæʒuəl/ 美:/ˈkæʒuəl/","- adj. 不在意的；不放在心上的；漫不经心的
- 不固定的；不定期的；临时的
- 不经意的，随意的；碰巧的
- （衣服）休闲的；便装的

副 词:  
casually

名 词:  
casualness",
3915,"castle","英:/ˈkɑːsl/ 美:/ˈkæsl/","- n. 城堡；象棋中的车
- vt. 置…于城堡中；筑城堡防御


时 态:  
castled, castling, castles",
3916,"cast","英:/kɑːst/ 美:/kæst/","- vt. & vi. 投，掷，扔
- 浇铸
- vt. 投射，加…于
- 分配(演戏剧等的)角色
- n. 投，掷，抛，扔
- 铸造物；塑件
- 石膏
- 演员表，全体演员
- n. 原主人不再要的衣服/casting vote决定票
CASTabbr. Center for the Applications of Sciences and Technology (Wayne大学)科学技术应用中心
CASTabbr. Center for the Applications of Sciences and Technology 〈美〉(Wayne大学)科学技术应用中心

时 态:  
cast，casting，casts",
3917,"cash register","","n. 〈美〉收银机,现金出纳机",
3918,"cash","英:/kæʃ/ 美:/kæʃ/","- n. 现款，现金
- vt. 将…兑现；支付现款


时 态:  
cashed, cashing, cashes 

形容词:  
cashless",
3919,"case","英:/keɪs/ 美:/keɪs/","- n. 情况；实例；箱
- vt. 把…装于容器中；包围

Casen. 计算机辅助软件工程

时 态:  
cased, casing, cases",
3920,"cartridge","英:/'kɑːtrɪdʒ/ 美:/'kɑrtrɪdʒ/","n. 弹药筒，打印机的（墨盒）；[摄] 暗盒；笔芯；一卷软片",
3921,"carter","英:/ˈkɑ:tə/ 美:/ˈkɑrtɚ/","n. 运货马车夫，驾驶货车的人

Carter卡特(姓氏, 男子名)",
3922,"carte","英:/kɑ:t/ 美:/kɑrt/","n. 地图；（法）菜单；（苏）纸牌",
3923,"cart","英:/kɑːt/ 美:/kɑːrt/","- n. 运货马车；手推车
- vt. 用马车载运

时 态:  
carted，carting，carts 

名 词:  
carter",
3924,"carrying","/'kærɪɪŋ/","adj. 运送的,运输的",
3925,"carry","英:/'kærɪ/ 美:/'kæri/","- vt. 提, 挑, 背
- 支撑, 支持
- vt. & vi. 运送, 搬运
- 携带, 具有, 包含

时 态:  
carried, carrying, carries",
3926,"carrot","英:/ˈkærət/ 美:/ˈkærət/","n. 胡萝卜",
3927,"carrier","英:/ˈkæriə(r)/ 美:/ˈkæriər/","n. 载体；货架；运送者；带菌者",
3928,"carried","/'kærid/","adj. 被携带的,被运载的",
3929,"carpool","英:/'kɑːpuːl/ 美:/'kɑrpul/","v. 合伙使用汽车",
3930,"carpet","英:/ˈkɑːpɪt/ 美:/ˈkɑːrpɪt/","n. 地毯

时 态:  
carpeted, carpeting, carpets",
3931,"carpenter","英:/ˈkɑːpəntə(r)/ 美:/ˈkɑːrpəntər/","n. 木工, 木匠
Carpenter卡彭特(姓氏)

时 态:  
carpentered, carpentering, carpenters 

名 词:  
carpentry",
3932,"carol","英:/'kær(ə)l/ 美:/'kærəl/","- n. 圣诞之歌，(宗教)颂歌
- vi. 欢乐地唱
- 唱圣诞颂歌
Caroln. 卡罗尔（女子名）

时 态:  
caroledalso carolled 
carolingcarolling 
carolscarols  

名 词:  
caroler",
3933,"carl","英:/kɑ:l/ 美:/k ɑr l../","- n. 村夫
- 奴隶
- 粗野的人
Carln. 卡尔（男子名）",
3934,"cargo","英:/ˈkɑːɡəʊ/ 美:/ˈkɑːrɡoʊ/","n. 货物，船货",
3935,"caretaker","英:/'keəteɪkə/ 美:/'kɛr'tekɚ/","- n. 看门人
- adj. 暂时代理的; 临时的",
3936,"carefully","英:/ˈk eəfəlɪ/ 美:/'kɛrfəli/","- adv. 小心谨慎地;警惕地
- 仔细地;周密地",
3937,"careful","英:/'keəfʊl/ 美:/'kɛrfl/","adj. 仔细的，小心的


副 词:  
carefully

名 词:  
carefulness",
3938,"career","英:/kəˈrɪə(r)/ 美:/kəˈrɪr/","n. 事业，职业；生涯


时 态:  
careered, careering, careers",
3939,"care","英:/keə/ 美:/kɛr/","- n. 照料；忧虑；关怀；谨慎
- vi. 关心；喜爱；照顾；顾虑
- vt. 在意；希望或喜欢

CAREabbr. Computer-Aided Reliability Estimation 计算机辅助可靠性估价

时 态:  
cared, caring, cares",
3940,"cardboard","英:/ˈkɑːdbɔːd/ 美:/ˈkɑːrdbɔːrd/","n. 硬纸板",
3941,"card","英:/kɑːd/ 美:/kɑrd/","- n. 卡片；纸牌；明信片
- vt. 记于卡片上

CARDabbr. Civil Aeronautics Research and Development Policy Study 民用航空研究与发展政策研究
CARDabbr. Civil Aeronautics Research and Development Policy Study 〈美〉民用航空研究与发展政策研究

时 态:  
carded, carding, cards 

名 词:  
carder",
3942,"carbon copy","","复写本，副本",
3943,"car","英:/kɑː/ 美:/kɑr/","- n. 汽车, 轿车
- (火车)车厢
CAR中非共和国",
3944,"capital","英:/ˈkæpɪtl/ 美:/ˈkæpɪtl/","- n. 首都，省会；大写字母；资金；资本家
- adj. 重要的；大写的；首都的",
3945,"capacity","英:/kəˈpæsəti/ 美:/kəˈpæsəti/","n. 能力；容量；生产力；资格，地位",
3946,"capable","英:/ˈkeɪpəbl/ 美:/ˈkeɪpəbl/","adj. 能干的，能胜任的；有才华的


副 词:  
capably",
3947,"cant","英:/kænt/ 美:/kænt/","- n. 斜面；伪善之言；黑话；角落
- vi. 倾斜；讲黑话
- vt. 把…棱角去掉；使…倾斜；甩掉
- adj. 行话的；哀诉声的；假仁假义的


时 态:  
canted, canting, cants",
3948,"candidate","英:/ˈkændɪdət/ 美:/ˈkændɪdət/","- n. 申请求职者, 候选人
- 报考者

名 词:  
candidacy",
3949,"cancellation","英:/ˌkænsə'leɪʃ(ə)n/ 美:/ˌkænsə'leʃən/","- n. 取消，注销；作废，废除；删去，划掉
- 被取消的事物
- (相)约；(相)消
- 盖销记号；戳记",
3950,"cancel","英:/ˈkænsl/ 美:/ˈkænsl/","- vt. 取消, 废除
- 注销, 盖销
- 删去, 划掉

时 态:  
canceledalso cancelled 
cancelingcancelling 
cancelscancels  

名 词:  
canceler",
3951,"canal","英:/kəˈnæl/ 美:/kəˈnæl/","- n. 运河；水道；灌溉水渠；管道
- vt. 在…开凿运河


时 态:  
canalled, canaled 
canalling, canaling 
canals, canals",
3952,"canada","英:/ˈkænədə/ 美:/ˈkænədə/","n. 加拿大

形容词:  
Canadian",
3953,"campus","英:/ˈkæmpəs/ 美:/ˈkæmpəs/","- n. (大学)校园
- 大学或其分校",
3954,"campaign","英:/kæmˈpeɪn/ 美:/kæmˈpeɪn/","- n. 运动（为社会、商业或政治目的而进行的一系列有计划的活动）
- 战役
- v. 参加运动，领导运动（如为实现政治变革或赢得竞选胜利）


时 态:  
campaigned, campaigning, campaigns 

名 词:  
campaigner",
3955,"camp","英:/kæmp/ 美:/kæmp/","- vi. 扎营；露营
- vt. 扎营；使扎营
- n. 露营

cAMP(=cyclic adenosine monophosphate)环腺苷酸
CAMPabbr. Computer Aided Maintenance Project 计算机辅助维修计划
CAMPabbr. Computer Aided Maintenance Project 计算机辅助维修计划〈英〉
Camp坎普(姓氏)

时 态:  
camped, camping, camps 

形容词:  
campy",
3956,"camera","英:/'kæm(ə)rə/ 美:/'kæmərə/","n. 照相机; 摄影机; 电视摄影机",
3957,"came","英:/keɪm/ 美:/kem/","v. come的过去式",
3958,"calmly","英:/'kɑːmlɪ/ 美:/'kɑmli/","adv. 平静地；冷静地；安静地",
3959,"calling","英:/ˈkɔːlɪŋ/ 美:/ˈkɔːlɪŋ/","- n. 职业；点名；召集；欲望；邀请
- v. 召；称之为；呼唤（call的现在分词）",
3960,"caller","英:/'kɔːlə/ 美:/'kɔlɚ/","- n. 访问者，探望者
- 呼叫者；鸣叫物
- 打电话者",
3961,"call off","","取消，把（注意力）转移开",
3962,"call it a day","","收工；暂停止",
3963,"call","英:/kɔːl/ 美:/kɔːl/","- vi. 呼叫；拜访；叫牌
- vt. 呼叫；召集；称呼
- n. 电话；访问；呼叫；要求


时 态:  
called, calling, calls",
3964,"calendar","英:/ˈkælɪndə(r)/ 美:/ˈkælɪndər/","- n. 日历；历法；日程表
- vt. 将…列入表中；将…排入日程表


时 态:  
calendared, calendaring, calendars",
3965,"calculated","英:/'kælkjʊleɪtɪd/ 美:/'kælkjuletɪd/","adj. 计算出的,有计划的,适当的,适合的

副 词:  
calculatedly",
3966,"cal","/kæl/","abbr. Calculated Average Life 平均计算寿命",
3967,"cake","英:/keɪk/ 美:/kek/","- n. 蛋糕；块状物；利益总额
- vt. 使结块
- vi. 结成块状


时 态:  
caked, caking, cakes",
3968,"cajun","英:/ˈkeidʒən/ 美:/ˈkedʒən/","n. 移居美国路易斯安纳州的法人后裔",
3969,"cafeteria","英:/ˌkæfəˈtɪəriə/ 美:/ˌkæfəˈtɪriə/","n. (常设在商店、工厂、学校中的)自助餐厅或食堂",
3970,"cable","英:/ˈkeɪbl/ 美:/ˈkeɪbl/","- n. (船只、桥梁等上的)巨缆, 钢索
- 电缆
- vt. & vi. 给(某人)发电报, 打电报告诉(某人)
Cable凯布尔(姓氏)

时 态:  
cabled, cabling, cables 

名 词:  
cabler",
3971,"cabinet","英:/ˈkæbɪnət/ 美:/ˈkæbɪnət/","- n. 内阁；橱柜；展览艺术品的小陈列室
- adj. 内阁的；私下的，秘密的",
3972,"cabin","英:/ˈkæbɪn/ 美:/ˈkæbɪn/","- n. 小屋；客舱；船舱
- vt. 把…关在小屋里
- vi. 住在小屋里


时 态:  
cabined, cabining, cabins",
3973,"ca","","- Canada加拿大
- 美国Computing Associates 公司,全球著名的最大软件公司之一
Caabbr. calcium 钙
CA
- abbr. Capital Airlines Inc 首都航空公司
- Certificate Authority 认证中心
CAabbr. Certificate Authority 认证中心",
3974,"by all means","","尽一切办法；一定，务必",
3975,"buyer","英:/ˈbaɪə(r)/ 美:/ˈbaɪər/","n. 采购员；买主",
3976,"buy","英:/baɪ/ 美:/baɪ/","- vt. & vi. 购买, 购得；贿赂
- 做出牺牲以获得
- n. 交易, 买卖
- 便宜货

时 态:  
bought 
buying, buys 

形容词:  
buyable",
3977,"button","英:/ˈbʌtn/ 美:/ˈbʌtn/","- n. 纽扣
- 按钮
- 没有价值的小东西
- vt. & vi. 扣住, 系住

时 态:  
buttoned, buttoning, buttons 

名 词:  
buttoner

形容词:  
buttony",
3978,"busy","英:/'bɪzɪ/ 美:/'bɪzi/","- adj. 忙碌的；热闹的；正被占用的
- vt. 使忙于


比较级:  
busier, busiest 

副 词:  
busily

名 词:  
busyness",
3979,"business","英:/ˈbɪznəs/ 美:/ˈbɪznəs/","n. 商业；生意；交易；事情",
3980,"bus","英:/bʌs/ 美:/bʌs/","n. 公共汽车, 巴士",
3981,"bureau","英:/ˈbjʊərəʊ/ 美:/ˈbjʊroʊ/","n. 衣柜；局，处；办公桌


复 数: 
bureaux",
3982,"burden","英:/ˈbɜːdn/ 美:/ˈbɜːrdn/","- n. 负担；责任；船的载货量
- vt. 烦扰；使负担；装货于


时 态:  
burdened, burdening, burdens",
3983,"bulletin","英:/ˈbʊlətɪn/ 美:/ˈbʊlətɪn/","- n. 公告，公报
- vt. 公布，公告


时 态:  
bulletined, bulletining, bulletins",
3984,"built","英:/bɪlt/ 美:/bɪlt/","- v. 建造（build的过去分词）
- adj. 身段优美的；…建成的",
3985,"building","英:/'bɪldɪŋ/ 美:/'bɪldɪŋ/","- n. 建筑；建筑物
- v. 建筑；建立；增加（build的ing形式）",
3986,"builder","英:/ˈbɪldə(r)/ 美:/ˈbɪldər/","n. 建筑者；建立者",
3987,"build","英:/bɪld/ 美:/bɪld/","- vt. 建筑；建立
- vi. 建筑；建造
- n. 体格；构造；体形


时 态:  
built 
building, builds",
3988,"buffet","英:/ˈbʊfeɪ/ 美:/bəˈfeɪ/","- n. 打击；小卖部；猛烈冲击；自助餐
- vt. 与…搏斗；连续猛击
- vi. 斗争；奋勇前进
- adj. 自助的；自助餐的


时 态:  
buffeted, buffeting, buffets",
3989,"buffalo","英:/ˈbʌfələʊ/ 美:/ˈbʌfəloʊ/","n. 水牛；野牛（产于北美）；水陆两用坦克

Buffalo布法罗(美国纽约州西部一城市)",
3990,"budget","英:/ˈbʌdʒɪt/ 美:/ˈbʌdʒɪt/","- n. 预算；政府预算案
- 预算额，经费
- vt. & vi. 编制预算，安排开支等

时 态:  
budgeted，budgeting，budgets 

形容词:  
budgetary",
3991,"buckle","英:/ˈbʌkl/ 美:/ˈbʌkl/","- vi. 扣住；变弯曲
- vt. 扣住；使弯曲
- n. 皮带扣，带扣

Buckle巴克尔(姓氏)

时 态:  
buckled, buckling, buckles",
3992,"bu","","(日本长度单位)日分",
3993,"browsing","/'brauziŋ/","浏览",
3994,"brown","英:/braʊn/ 美:/braʊn/","- adj. 棕色的，褐色的；太阳晒黑的
- vi. 变成褐色
- n. 褐色，棕色
- vt. 使变成褐色

Brown布朗(姓氏)

比较级:  
browner, brownest 

形容词:  
brownish

名 词:  
brownness",
3995,"brother","英:/'brʌðə/ 美:/'brʌðɚ/","- n. 兄弟；战友；同事
- int. [俚]我的老兄！",
3996,"broken","英:/'brəʊk(ə)n/ 美:/'brokən/","- adj. 破碎的, 破裂的, 被打坏的
- 打断的, 中止的
- 被驯服的, 被制服的, 被打败的

副 词:  
brokenly",
3997,"brochure","英:/ˈbrəʊʃə(r)/ 美:/broʊˈʃʊr/","n. 手册，小册子",
3998,"broadcast","英:/ˈbrɔːdkɑːst/ 美:/ˈbrɔːdkæst/","- n. 广播；播音
- 广播节目
- vt. & vi. 广播，播放
- vt. 传播，乱传(消息等)

时 态:  
broadcast，broadcasted 
broadcasting，broadcasts 

名 词:  
broadcaster",
3999,"broad","英:/brɔːd/ 美:/brɔːd/","- adj. 宽的，阔的；广的
- 宽宏的，胸襟开阔的
- 清楚的，明显的
- 大概的，不详细的

比较级:  
broader，broadest 

副 词:  
broadly

名 词:  
broadness",
4000,"bring","英:/brɪŋ/ 美:/brɪŋ/","vt. 带来；引起；促使；使某人处于某种情况或境地


时 态:  
brought 
bringing, brings",
4001,"brilliant","英:/ˈbrɪliənt/ 美:/ˈbrɪliənt/","- adj. 闪光的, 明亮的
- 光辉的, 辉煌的

副 词:  
brilliantly",
4002,"bright","英:/brait/ 美:/braɪt/","- adj. 光亮的，闪光的，发光的
- 鲜艳的，鲜亮的
- 生气勃勃的，愉快的；幸福的
- 聪明的，伶俐的
- 前途光明的，有希望的
Bright布赖特(①姓氏 ②Richard，1789-1858，英国医学家)

比较级:  
brighter，brightest",
4003,"briefly","英:/ˈbri:fli/ 美:/'brifli/","- adv. 短暂地
- 简单地说；简洁地；简短地",
4004,"briefcase","英:/ˈbriːfkeɪs/ 美:/ˈbriːfkeɪs/","n. 公文[事]包",
4005,"brief","英:/briːf/ 美:/briːf/","- adj. 简短的，简洁的；短暂的，草率的
- n. 概要，诉书；摘要，简报
- vt. 作…的提要；简报，摘要


比较级:  
briefer, briefest 

副 词:  
briefly

名 词:  
briefness",
4006,"bridge","英:/brɪdʒ/ 美:/brɪdʒ/","- n. 桥；桥梁
- 鼻梁；鼻梁架
- 桥牌
- vt. 在…建桥

时 态:  
bridged，bridging，bridges 

形容词:  
bridgeable",
4007,"brick","英:/brɪk/ 美:/brɪk/","- n. 砖，砖块；砖形物；[口]心肠好的人
- vt. 用砖砌
- adj. 用砖做的；似砖的


形容词:  
bricky",
4008,"breeze","英:/briːz/ 美:/briːz/","- n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
- vi. 吹微风；逃走


时 态:  
breezed, breezing, breezes",
4009,"breed","英:/briːd/ 美:/briːd/","- vi. 繁殖；饲养；产生
- vt. 繁殖；饲养；养育，教育；引起
- n. 品种；种类，类型


时 态:  
bred 
breeding, breeds",
4010,"breathtaking","英:/'breθteɪkɪŋ/ 美:/'brɛθtekɪŋ/","- adj. 非常激动人心的,壮观的
- 惊人的；惊险的
- 使人透不过气来的",
4011,"breakthrough","英:/ˈbreɪkθruː/ 美:/ˈbreɪkθruː/","n. 突破点, 突破性进展, 重要的新发现",
4012,"breaking","英:/'breikiŋ/ 美:/ˈbrekɪŋ/","n. 破坏,阻断",
4013,"breakfast","英:/'brekfəst/ 美:/'brɛkfəst/","- n. 早餐, 早饭
- vi. 吃早餐
- vt. 供给…早餐

时 态:  
breakfasted, breakfasting, breakfasts",
4014,"break","英:/breɪk/ 美:/breɪk/","- n. 休息，中断；破裂处
- vt. 打破，弄破；中断；弄坏；削弱
- vi. 突变


时 态:  
broke 
broken 
breaking, breaks",
4015,"bread","英:/bred/ 美:/brɛd/","- n. 面包
- 生计

时 态:  
breaded, breading, breads",
4016,"brass","英:/brɑːs/ 美:/bræs，brɑs/","n. 黄铜；黄铜制品；厚脸皮；铜管乐器


形容词:  
brass",
4017,"brandywine","英:/ˈbrændi:ˌwaɪn/ 美:/ˈbrændiˌwaɪn/","布兰迪维因(美国宾夕法尼亚东南部的一条小溪, 位于特拉华北部。1777年9月11日殖民地军队大败于此, 这使英军于9月27日得以进入费城)",
4018,"brand","英:/brænd/ 美:/brænd/","- n. 商标, 牌子
- 烙印
- vt. 打烙印于, 以烙铁打
- 加污名于, 谴责

时 态:  
branded, branding, brands 

名 词:  
brander",
4019,"branch","英:/brɑːntʃ/ 美:/bræntʃ/","- vt. 分支；出现分歧
- vi. 分支；出现分歧
- n. 树枝，分枝；分部；支流


时 态:  
branched, branching, branches 

形容词:  
branchless

形容词:  
branchy",
4020,"brag","英:/bræɡ/ 美:/bræɡ/","vt. & vi. 自夸, 吹嘘

时 态:  
bragged, bragging, brags 

名 词:  
bragger",
4021,"brad","英:/bræd/ 美:/bræd/","n. 曲头钉

动 词:  
brad",
4022,"boy","英:/bɒɪ/ 美:/bɔɪ/","n. 男孩；[美口]男人


名 词:  
boyhood",
4023,"boxer","英:/'bɒksə/ 美:/'bɑksɚ/","- n. (尤指职业)拳击手
- 拳师狗",
4024,"box","英:/bɒks/ 美:/bɑks/","- n. 箱，盒子；包厢；一拳
- vi. 拳击
- vt. 装…入盒中；拳击；打耳光


时 态:  
boxed, boxing, boxes",
4025,"bowl","英:/bəʊl/ 美:/boʊl/","- n. 碗；木球；大酒杯
- vi. 玩保龄球；滑动；平稳快速移动
- vt. 投球；旋转；平稳快速移动


时 态:  
bowled, bowling, bowls",
4026,"bouquet","英:/buˈkeɪ/ 美:/buˈkeɪ/","n. 酒香；花束",
4027,"bounder","英:/'baʊndə/ 美:/ˈbaʊndɚ/","n. 粗鲁的人,暴发户",
